dun_id,dun_code,dun_name,parliament_id,parliament_code,parliament_name,state_id,state_name
1,N01,Titi Tinggi,1,P001,Padang Besar,1,Perlis
2,N02,Beseri,1,P001,Padang Besar,1,Perlis
3,N03,Chuping,1,P001,Padang Besar,1,Perlis
4,N04,Mata Ayer,1,P001,Padang Besar,1,Perlis
5,N05,Santan,1,P001,Padang Besar,1,Perlis
6,N06,Bintong,2,P002,Kangar,1,Perlis
7,N07,Sena,2,P002,Kangar,1,Perlis
8,N08,Indera Kayangan,2,P002,Kangar,1,Perlis
9,N09,Kuala Perlis,2,P002,Kangar,1,Perlis
10,N10,Kayang,2,P002,Kangar,1,Perlis
11,N11,Pauh,3,P003,Arau,1,Perlis
12,N12,Tambun Tulang,3,P003,Arau,1,Perlis
13,N13,Guar Sanji,3,P003,Arau,1,Perlis
14,N14,Simpang Empat,3,P003,Arau,1,Perlis
15,N15,Sanglang,3,P003,Arau,1,Perlis
16,N01,Ayer Hangat,4,P004,Langkawi,2,Kedah
17,N02,Kuah,4,P004,Langkawi,2,Kedah
18,N03,Kota Siputeh,5,P005,Jerlun,2,Kedah
19,N04,Ayer Hitam,5,P005,Jerlun,2,Kedah
20,N05,Bukit Kayu Hitam,6,P006,Kubang Pasu,2,Kedah
21,N06,Jitra,6,P006,Kubang Pasu,2,Kedah
22,N07,Kuala Nerang,7,P007,Padang Terap,2,Kedah
23,N08,Pedu,7,P007,Padang Terap,2,Kedah
24,N09,Bukit Lada,8,P008,Pokok Sena,2,Kedah
25,N10,Bukit Pinang,8,P008,Pokok Sena,2,Kedah
26,N11,Derga,8,P008,Pokok Sena,2,Kedah
27,N12,Suka Menanti,9,P009,Alor Setar,2,Kedah
28,N13,Kota Darul Aman,9,P009,Alor Setar,2,Kedah
29,N14,Alor Mengkudu,9,P009,Alor Setar,2,Kedah
30,N15,Anak Bukit,10,P010,Kuala Kedah,2,Kedah
31,N16,Kubang Rotan,10,P010,Kuala Kedah,2,Kedah
32,N17,Pengkalan Kundor,10,P010,Kuala Kedah,2,Kedah
33,N18,Tokai,11,P011,Pendang,2,Kedah
34,N19,Sungai Tiang,11,P011,Pendang,2,Kedah
35,N20,Sungai Limau,12,P012,Jerai,2,Kedah
36,N21,Guar Chempedak,12,P012,Jerai,2,Kedah
37,N22,Gurun,12,P012,Jerai,2,Kedah
38,N23,Belantek,13,P013,Sik,2,Kedah
39,N24,Jeneri,13,P013,Sik,2,Kedah
40,N25,Bukit Selambau,14,P014,Merbok,2,Kedah
41,N26,Tanjong Dawai,14,P014,Merbok,2,Kedah
42,N27,Pantai Merdeka,15,P015,Sungai Petani,2,Kedah
43,N28,Bakar Arang,15,P015,Sungai Petani,2,Kedah
44,N29,Sidam,15,P015,Sungai Petani,2,Kedah
45,N30,Bayu,16,P016,Baling,2,Kedah
46,N31,Kupang,16,P016,Baling,2,Kedah
47,N32,Kuala Ketil,16,P016,Baling,2,Kedah
48,N33,Merbau Pulas,17,P017,Padang Serai,2,Kedah
49,N34,Lunas,17,P017,Padang Serai,2,Kedah
50,N35,Kulim,18,P018,Kulim-Bandar Baharu,2,Kedah
51,N36,Bandar Baharu,18,P018,Kulim-Bandar Baharu,2,Kedah
52,N01,Pengkalan Kubor,19,P019,Tumpat,3,Kelantan
53,N02,Kelaboran,19,P019,Tumpat,3,Kelantan
54,N03,Pasir Pekan,19,P019,Tumpat,3,Kelantan
55,N04,Wakaf Bharu,19,P019,Tumpat,3,Kelantan
56,N05,Kijang,20,P020,Pengkalan Chepa,3,Kelantan
57,N06,Chempaka,20,P020,Pengkalan Chepa,3,Kelantan
58,N07,Panchor,20,P020,Pengkalan Chepa,3,Kelantan
59,N08,Tanjong Mas,21,P021,Kota Bharu,3,Kelantan
60,N09,Kota Lama,21,P021,Kota Bharu,3,Kelantan
61,N10,Bunut Payong,21,P021,Kota Bharu,3,Kelantan
62,N11,Tendong,22,P022,Pasir Mas,3,Kelantan
63,N12,Pengkalan Pasir,22,P022,Pasir Mas,3,Kelantan
64,N13,Meranti,22,P022,Pasir Mas,3,Kelantan
65,N14,Chetok,23,P023,Rantau Panjang,3,Kelantan
66,N15,Gual Periok,23,P023,Rantau Panjang,3,Kelantan
67,N16,Apam Putra,23,P023,Rantau Panjang,3,Kelantan
68,N17,Salor,24,P024,Kubang Kerian,3,Kelantan
69,N18,Pasir Tumboh,24,P024,Kubang Kerian,3,Kelantan
70,N19,Demit,24,P024,Kubang Kerian,3,Kelantan
71,N20,Tawang,25,P025,Bachok,3,Kelantan
72,N21,Pantai Lama,25,P025,Bachok,3,Kelantan
73,N22,Jelawat,25,P025,Bachok,3,Kelantan
74,N23,Melor,26,P026,Ketereh,3,Kelantan
75,N24,Kadok,26,P026,Ketereh,3,Kelantan
76,N25,Kok Lanas,26,P026,Ketereh,3,Kelantan
77,N26,Bukit Panau,27,P027,Tanah Merah,3,Kelantan
78,N27,Gual Ipoh,27,P027,Tanah Merah,3,Kelantan
79,N28,Kemahang,27,P027,Tanah Merah,3,Kelantan
80,N29,Selising,28,P028,Pasir Puteh,3,Kelantan
81,N30,Limbongan,28,P028,Pasir Puteh,3,Kelantan
82,N31,Semerak,28,P028,Pasir Puteh,3,Kelantan
83,N32,Gaal,28,P028,Pasir Puteh,3,Kelantan
84,N33,Pulai Chondong,29,P029,Machang,3,Kelantan
85,N34,Temangan,29,P029,Machang,3,Kelantan
86,N35,Kemuning,29,P029,Machang,3,Kelantan
87,N36,Bukit Bunga,30,P030,Jeli,3,Kelantan
88,N37,Air Lanas,30,P030,Jeli,3,Kelantan
89,N38,Kuala Balah,30,P030,Jeli,3,Kelantan
90,N39,Mengkebang,31,P031,Kuala Krai,3,Kelantan
91,N40,Guchil,31,P031,Kuala Krai,3,Kelantan
92,N41,Manek Urai,31,P031,Kuala Krai,3,Kelantan
93,N42,Dabong,31,P031,Kuala Krai,3,Kelantan
94,N43,Nenggiri,32,P032,Gua Musang,3,Kelantan
95,N44,Paloh,32,P032,Gua Musang,3,Kelantan
96,N45,Galas,32,P032,Gua Musang,3,Kelantan
97,N01,Kuala Besut,33,P033,Besut,4,Terengganu
98,N02,Kota Putera,33,P033,Besut,4,Terengganu
99,N03,Jertih,33,P033,Besut,4,Terengganu
100,N04,Hulu Besut,33,P033,Besut,4,Terengganu
101,N05,Jabi,34,P034,Setiu,4,Terengganu
102,N06,Permaisuri,34,P034,Setiu,4,Terengganu
103,N07,Langkap,34,P034,Setiu,4,Terengganu
104,N08,Batu Rakit,34,P034,Setiu,4,Terengganu
105,N09,Tepuh,35,P035,Kuala Nerus,4,Terengganu
106,N10,Buluh Gading,35,P035,Kuala Nerus,4,Terengganu
107,N11,Seberang Takir,35,P035,Kuala Nerus,4,Terengganu
108,N12,Bukit Tunggal,35,P035,Kuala Nerus,4,Terengganu
109,N13,Wakaf Mempelam,36,P036,Kuala Terengganu,4,Terengganu
110,N14,Bandar,36,P036,Kuala Terengganu,4,Terengganu
111,N15,Ladang,36,P036,Kuala Terengganu,4,Terengganu
112,N16,Batu Buruk,36,P036,Kuala Terengganu,4,Terengganu
113,N17,Alur Limbat,37,P037,Marang,4,Terengganu
114,N18,Bukit Payung,37,P037,Marang,4,Terengganu
115,N19,Ru Rendang,37,P037,Marang,4,Terengganu
116,N20,Pengkalan Berangan,37,P037,Marang,4,Terengganu
117,N21,Telemung,38,P038,Hulu Terengganu,4,Terengganu
118,N22,Manir,38,P038,Hulu Terengganu,4,Terengganu
119,N23,Kuala Berang,38,P038,Hulu Terengganu,4,Terengganu
120,N24,Ajil,38,P038,Hulu Terengganu,4,Terengganu
