party_id,name,name_1,abbreviation
2,BARISAN NASIONAL,Barisan Nasional,BN
20,PARTI BERSATU RAKYAT SABAH,Barisan Nasional,BN
12,PARTI BUMIPUTERA PERKASA MALAYSIA,Gerakan Tanah Air,GTA
4,PARTI PEJUANG TANAHAIR,Gerakan Tanah Air,GTA
14,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT,Lain-lain,LAIN
23,PARTI SEDAR RAKYAT SARAWAK,Lain-lain,LAIN
22,PARTY BUMI KENYALANG,Lain-lain,LAIN
21,PARTI PERPADUAN RAKYAT SABAH,Lain-lain,LAIN
19,PARTI SOSIALIS MALAYSIA,Lain-lain,LAIN
18,PARTI UTAMA RAKYAT,Lain-lain,LAIN
17,PARTI BANGSA DAYAK SARAWAK,Lain-lain,LAIN
16,PARTI BANGSA MALAYSIA ,Lain-lain,LAIN
15,IKATAN DEMOKRATIK MALAYSIA,Lain-lain,LAIN
11,PARTI SARAWAK BERSATU,Lain-lain,LAIN
10,PARTI GABUNGAN RAKYAT SABAH,Lain-lain,LAIN
9,PARTI RAKYAT MALAYSIA,Lain-lain,LAIN
7,GABUNGAN PARTI SARAWAK,Lain-lain,LAIN
6,PARTI WARISAN SABAH,Lain-lain,LAIN
5,BEBAS,Lain-lain,LAIN
13,"DEMOCRATIC ACTION PARTY, MALAYSIA",Pakatan Harapan,PH
1,PAKATAN HARAPAN,Pakatan Harapan,PH
8,PARTI ISLAM SE MALAYSIA,Perikatan Nasional,PN
3,PERIKATAN NASIONAL,Perikatan Nasional,PN
